,Page Title,Car Price,Item Condition,Car Location,Image Links,Brand,Mileage,Model,Seat Capacity,Variant,Type,Series,Manufactured Year,Country of Origin,Transmission,Engine CC,Compression Ratio,Peak Power (Bhp),Peak Torque (Nm),Engine Type,Fuel Type,Length(mm),Width(mm),Height(mm),Wheel Base (mm),Kerb Weight (kg),Fuel Tank (litres),Front Brakes,Rear Brakes,Front Suspension,Rear Suspension,Steering,Front Tyres,Rear Tyres,Front Rim(inches),Rear Rim(inches),Loan Monthly Payment,Interest Rate,Features
939, 14 Perodua ALZA 1.5 ADVANCED (A) AV 1MALAY OWN,    RM 38 800     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/85/857930032709455.jpg', 'https://img.rnudah.com/thumbs/85/856930038641648.jpg', 'https://img.rnudah.com/thumbs/85/857930037164967.jpg', 'https://img.rnudah.com/thumbs/85/858930035688286.jpg', 'https://img.rnudah.com/thumbs/85/859930034211605.jpg', 'https://img.rnudah.com/thumbs/85/850930032734924.jpg', 'https://img.rnudah.com/thumbs/85/851930031258243.jpg', 'https://img.rnudah.com/thumbs/85/851930039781562.jpg', 'https://img.rnudah.com/thumbs/85/852930038304881.jpg', 'https://img.rnudah.com/thumbs/85/859930033719756.jpg', 'https://img.rnudah.com/thumbs/85/851930030766394.jpg']",PERODUA   ,  75 000 - 79 999  ,ALZA   ,7 ,ZHV ADVANCED ,4D WAGON , -, 2014  ,MALAYSIA ,4 SP AUTOMATIC,1495 ,10  ,76 ,136 ,MULTI POINT F/INJ ,PETROL ,1695 ,4275 ,1620 ,2750 ,1168 ,42 ,DV ,DR ,McSt;CS; ,TB;SB; ,RACK &amp; PINION - POWER ASSISTED ,185/55 R15 ,185/55 R15 , -, -,RM523/month,3.7,-
940, OFFER 2011 Mercedes Benz C180 CGI CBU 1.8 (A) AMG,    RM 80 800     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/83/834928036824184.jpg', 'https://img.rnudah.com/thumbs/83/837928032394141.jpg', 'https://img.rnudah.com/thumbs/83/831928035010736.jpg', 'https://img.rnudah.com/thumbs/83/839928037964098.jpg', 'https://img.rnudah.com/thumbs/83/834928039104012.jpg', 'https://img.rnudah.com/thumbs/83/836928036150650.jpg', 'https://img.rnudah.com/thumbs/83/830928038767245.jpg', 'https://img.rnudah.com/thumbs/83/834928032860521.jpg', 'https://img.rnudah.com/thumbs/83/835928039907159.jpg', 'https://img.rnudah.com/thumbs/83/833928030373539.jpg', 'https://img.rnudah.com/thumbs/83/831928039570392.jpg', 'https://img.rnudah.com/thumbs/83/835928033663668.jpg', 'https://img.rnudah.com/thumbs/83/837928039233625.jpg']",MERCEDES BENZ   ,  85 000 - 89 999  ,C-CLASS   ,5 ,180 BlueEFCY CGI SPRTPCK (CBU) ,4D SEDAN ,C204 , 2011  ,GERMANY ,7 SP AUTOMATIC G-TRONIC,1796 ,9.8  ,115 ,250 ,TURBO F/INJ ,PETROL ,1770 ,4590 ,1406 ,2760 ,1520 ,66 ,DV ,DS ,CS;GDSA ,CS;GSA , -,225/45 R18 ,255/35 R18 ,8Jx18 ,8.5Jx18 ,RM1 090/month,3.7,-
941, 2016 Toyota ALPHARD 2.5 S 7S 2 PD ALPINE PRE CRUSH,    RM 224 000     ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/43/433916021724321.jpg', 'https://img.rnudah.com/thumbs/43/435916027398422.jpg', 'https://img.rnudah.com/thumbs/43/437916020481397.jpg', 'https://img.rnudah.com/thumbs/43/430916026854501.jpg', 'https://img.rnudah.com/thumbs/43/430916028046487.jpg', 'https://img.rnudah.com/thumbs/43/436916029989548.jpg', 'https://img.rnudah.com/thumbs/43/439916025559505.jpg']",TOYOTA   ,  5 000 - 9 999  ,ALPHARD   ,7 ,2.5 SC ,4D WAGON , -, 2016  ,JAPAN ,4 SP AUTOMATIC,2493 , - ,134 ,235 ,F/INJ ,PETROL ,4935 ,1850 ,1880 ,3000 ,1960 ,75 ,Ventilated Discs ,Discs , -, -, -,235/50R18 97V ,235/50R18 97V , -, -,RM3 022/month,3.7,-
942, 2011 Toyota Hilux 2.5 (A),    RM 49 500     ,Used,   Selangor   ,['https://img.rnudah.com/thumbs/25/257909058972708.jpg'],   Toyota   ,200 000 - 249 999,   Hilux   ,-,-,4 Wheels,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM668/month,3.7,"CD Player, Airbag Driver, Airbag Passenger, DVD Player, ABS Brakes, Sport Rims, Alarm, Central Lock, Adjustable Steering, Sunroof / Moonroof"
943, 2007 Perodua Viva 1.0 (A),    RM 10 800     ,Used,   Johor   ,"['https://img.rnudah.com/thumbs/25/259909050985372.jpg', 'https://img.rnudah.com/thumbs/25/254909051037444.jpg', 'https://img.rnudah.com/thumbs/25/252909058550462.jpg', 'https://img.rnudah.com/thumbs/25/258909051478355.jpg', 'https://img.rnudah.com/thumbs/25/253909052618269.jpg', 'https://img.rnudah.com/thumbs/25/252909056374778.jpg']",   Perodua   ,75 000 - 79 999,   Viva   ,-,-,Sedan,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM146/month,3.7,"Airbag Passenger, Alarm, Central Lock"
944, 2005 Toyota VIOS 1.5 G (A) View To Believe Tip Top,   RM 16 800      ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/01/010915040236581.jpg', 'https://img.rnudah.com/thumbs/01/014915049200811.jpg', 'https://img.rnudah.com/thumbs/01/012915048190510.jpg', 'https://img.rnudah.com/thumbs/01/012915046014826.jpg', 'https://img.rnudah.com/thumbs/01/016915042387930.jpg', 'https://img.rnudah.com/thumbs/01/019915040237715.jpg', 'https://img.rnudah.com/thumbs/01/018915045782203.jpg', 'https://img.rnudah.com/thumbs/01/013915040678626.jpg', 'https://img.rnudah.com/thumbs/01/015915048528411.jpg', 'https://img.rnudah.com/thumbs/01/011915044227981.jpg', 'https://img.rnudah.com/thumbs/01/014915046637422.jpg', 'https://img.rnudah.com/thumbs/01/011915047103802.jpg', 'https://img.rnudah.com/thumbs/01/012915045731265.jpg']",TOYOTA   ,  150 000 - 159 999  ,VIOS   ,5 ,G ,4D SEDAN ,NCP42R-EEPGKE , 2005  ,MALAYSIA ,4 SP AUTOMATIC,1497 ,10.5  ,80 ,142 ,MULTI POINT F/INJ ,PETROL ,1695 ,4285 ,1435 ,2500 ,980 ,45 ,DV ,DS ,McSt;SB; ,TB;SB; ,RACK &amp; PINION ,185/55 R15 ,185/55 R15 ,5.5Jx15 ,5.5Jx15 ,RM213/month,3.7,-
945, SPECIAL INTERIOR PCA DCC Lexus NX200 TURBO LUXURY,   RM 220 000      ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/44/441918023518553.jpg', 'https://img.rnudah.com/thumbs/44/441918021238725.jpg', 'https://img.rnudah.com/thumbs/44/441918029762044.jpg', 'https://img.rnudah.com/thumbs/44/442918028285363.jpg', 'https://img.rnudah.com/thumbs/44/443918026808682.jpg', 'https://img.rnudah.com/thumbs/44/447918020901958.jpg', 'https://img.rnudah.com/thumbs/44/447918029425277.jpg', 'https://img.rnudah.com/thumbs/44/448918027948596.jpg', 'https://img.rnudah.com/thumbs/44/449918026471915.jpg', 'https://img.rnudah.com/thumbs/44/443918020565191.jpg', 'https://img.rnudah.com/thumbs/44/444918027611829.jpg', 'https://img.rnudah.com/thumbs/44/445918026135148.jpg', 'https://img.rnudah.com/thumbs/44/446918024658467.jpg', 'https://img.rnudah.com/thumbs/44/449918020228424.jpg', 'https://img.rnudah.com/thumbs/44/449918028751743.jpg', 'https://img.rnudah.com/thumbs/44/440918027275062.jpg', 'https://img.rnudah.com/thumbs/44/441918025798381.jpg', 'https://img.rnudah.com/thumbs/44/444918025927994.jpg', 'https://img.rnudah.com/thumbs/44/446918022974632.jpg', 'https://img.rnudah.com/thumbs/44/447918021497951.jpg']",LEXUS   ,  20 000 - 24 999  ,NX200   ,5 ,T LUXURY ,4D WAGON ,AGZ15R-AWTLTQ , 2014  ,JAPAN ,6 SP AUTOMATIC,1998 ,10  ,173 ,350 ,TWIN TURBO DIRECT FI ,PETROL ,1870 ,4630 ,1630 ,2660 ,0 ,56 ,DV ,DS ,McSt ,McSt;DWB , -,225/60 R18 ,225/60 R18 ,18 ,18 ,RM2 671/month,3.7,-
946, 2011 Perodua ALZA 1.5 ZHP ADVANCED (A) RAYA OFFER,    RM 26 888     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/08/086912017054679.jpg', 'https://img.rnudah.com/thumbs/08/088912011896762.jpg', 'https://img.rnudah.com/thumbs/08/089912016767716.jpg', 'https://img.rnudah.com/thumbs/08/088912016068713.jpg', 'https://img.rnudah.com/thumbs/08/083912019488455.jpg', 'https://img.rnudah.com/thumbs/08/086912017338240.jpg', 'https://img.rnudah.com/thumbs/08/080912015991172.jpg', 'https://img.rnudah.com/thumbs/08/084912010680441.jpg', 'https://img.rnudah.com/thumbs/08/085912014671841.jpg', 'https://img.rnudah.com/thumbs/08/080912011848092.jpg', 'https://img.rnudah.com/thumbs/08/082912018610035.jpg', 'https://img.rnudah.com/thumbs/08/083912017237498.jpg', 'https://img.rnudah.com/thumbs/08/080912014336208.jpg']",PERODUA   ,  85 000 - 89 999  ,ALZA   ,7 ,ZHP ADVANCED ,4D WAGON , -, 2011  ,MALAYSIA ,4 SP AUTOMATIC,1495 ,10  ,76 ,136 ,MULTI POINT F/INJ ,PETROL ,1695 ,4275 ,1620 ,2750 ,1168 ,42 ,DV ,DR ,McSt; ,TB; ,RACK &amp; PINION ,185/55 R15 ,185/55 R15 , -, -,RM363/month,3.7,-
947, 2004 Hyundai SONATA 2.0 GLS (A) RAYA OFFER,    RM 5 888     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/12/129926044856775.jpg', 'https://img.rnudah.com/thumbs/12/124926042033026.jpg', 'https://img.rnudah.com/thumbs/61/611705046482249.jpg', 'https://img.rnudah.com/thumbs/61/612705045005568.jpg', 'https://img.rnudah.com/thumbs/61/613705043528887.jpg', 'https://img.rnudah.com/thumbs/61/614705042052206.jpg', 'https://img.rnudah.com/thumbs/12/120926040012424.jpg', 'https://img.rnudah.com/thumbs/12/125926047499973.jpg', 'https://img.rnudah.com/thumbs/92/923827120394817.jpg', 'https://img.rnudah.com/thumbs/92/920827129488660.jpg', 'https://img.rnudah.com/thumbs/12/120926044676224.jpg', 'https://img.rnudah.com/thumbs/12/126926042163773.jpg', 'https://img.rnudah.com/thumbs/12/125926041464770.jpg', 'https://img.rnudah.com/thumbs/12/129926040117702.jpg']",HYUNDAI   ,  140 000 - 149 999  ,SONATA   ,5 ,GLS ,4D SEDAN ,EF-B , 2004  ,MALAYSIA ,4 SP AUTO SPORTS MODE,1997 ,10  ,101 ,181 ,MULTI POINT F/INJ ,PETROL ,1820 ,4747 ,1422 ,2700 ,1361 ,65 ,DV ,DV ,McSt;DWB;SB; ,McSt;MLS;SB; ,RACK &amp; PINION ,205/65 VR15 ,205/65 VR15 ,6.0Jx15 ,6.0Jx15 ,RM79/month,3.7,-
948, 2015 Proton EXORA 1.6 BOLD PREMIUM (A) CPE TURBO,    RM 36 900     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/25/259909053560101.jpg', 'https://img.rnudah.com/thumbs/25/253909050529198.jpg', 'https://img.rnudah.com/thumbs/25/251909059130058.jpg', 'https://img.rnudah.com/thumbs/25/252909057653377.jpg', 'https://img.rnudah.com/thumbs/25/255909053223334.jpg', 'https://img.rnudah.com/thumbs/25/257909058793291.jpg', 'https://img.rnudah.com/thumbs/25/252909051409886.jpg', 'https://img.rnudah.com/thumbs/25/254909056979843.jpg']",PROTON   ,  40 000 - 44 999  ,EXORA   ,7 ,BOLD PREMIUM ,4D WAGON , -, 2015  ,MALAYSIA ,CONTINUOUS VARIABLE,1561 ,8.9  ,103 ,205 ,TURBO MPFI ,PETROL ,1809 ,4592 ,1691 ,2730 ,1486 ,55 ,DC ,DR ,McSt; ,TB; ,RACK &amp; PINION - POWER ASSISTED ,205/55 R15 ,205/55 R15 ,6.5Jx15 ,6.5Jx15 ,RM498/month,3.7,-
949, 2012/2013 Mitsubishi TRITON 2.5 VGT (A),    RM 43 800     ,Used,   Sabah   ,"['https://img.rnudah.com/thumbs/25/252909052543088.jpg', 'https://img.rnudah.com/thumbs/25/253909051066407.jpg', 'https://img.rnudah.com/thumbs/25/259909050729640.jpg', 'https://img.rnudah.com/thumbs/25/259909055289296.jpg', 'https://img.rnudah.com/thumbs/25/251909058579425.jpg', 'https://img.rnudah.com/thumbs/25/256909059719339.jpg']",MITSUBISHI   ,  150 000 - 159 999  ,TRITON   ,5 ,VGT ,DUAL CAB PICKUP ,KB4TGYXZPR , 2012  ,THAILAND ,5 SP AUTO SPORTS MODE,2477 ,16.5  ,131 ,350 ,DIESEL TURBO F/INJ ,DIESEL ,1800 ,5295 ,1780 ,3000 ,1860 ,75 ,DV ,DR ,Ind;WB;CS; ,RiA;LS; ,RACK &amp; PINION - POWER ASSISTED ,265/65 R17 ,265/65 R17 ,7Jx17 ,7Jx17 ,RM591/month,3.7,-
950, 2014 Mercedes Benz C200 AMG 2.0 JP SPEC UNREG,    RM 182 000     ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/24/242908050782140.jpg', 'https://img.rnudah.com/thumbs/24/244908058631925.jpg', 'https://img.rnudah.com/thumbs/24/249908051248520.jpg', 'https://img.rnudah.com/thumbs/24/243908056144943.jpg', 'https://img.rnudah.com/thumbs/24/242908057129775.jpg', 'https://img.rnudah.com/thumbs/24/249908055316327.jpg', 'https://img.rnudah.com/thumbs/24/241908054642793.jpg']",MERCEDES BENZ   ,  10 000 - 14 999  ,C-CLASS   ,5 ,200 AVANTGARDE (CBU) ,4D SEDAN ,W205 , 2014  ,SOUTH AFRICA ,7 SP AUTOMATIC G-TRONIC,1991 ,9.8  ,135 ,300 ,TURBO F/INJ ,PETROL ,1810 ,4686 ,1442 ,2840 ,1465 ,41 ,DV ,DS ,MLS; ,MLS; ,RACK &amp; PINION - POWER ASSISTED ,205/60 R16 ,205/60 R16 ,7Jx16 ,7Jx16 ,RM2 455/month,3.7,-
951, 2015 Mercedes Benz E250 2.0 AMG SUNROOF 4 CAMERA,    RM 200 000     ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/05/054919049593116.jpg', 'https://img.rnudah.com/thumbs/05/059919042209711.jpg', 'https://img.rnudah.com/thumbs/05/052919040059496.jpg', 'https://img.rnudah.com/thumbs/05/052919042339324.jpg', 'https://img.rnudah.com/thumbs/05/053919040370794.jpg', 'https://img.rnudah.com/thumbs/05/059919048557346.jpg', 'https://img.rnudah.com/thumbs/05/052919044127303.jpg', 'https://img.rnudah.com/thumbs/05/057919049826873.jpg', 'https://img.rnudah.com/thumbs/05/057919043583382.jpg', 'https://img.rnudah.com/thumbs/05/059919042909848.jpg']",MERCEDES BENZ   ,  5 000 - 9 999  ,E-CLASS   ,5 ,250 (CBU) ,2D COUPE ,C207 , 2015  ,GERMANY ,7 SP AUTOMATIC G-TRONIC,1991 ,9.8  ,155 ,300 ,TURBO F/INJ ,PETROL ,1768 ,4698 ,1397 ,2760 ,1660 ,80 ,DV ,DC ,CS;DGSA; ,CS;DGSA; ,RACK &amp; PINION - POWER ASSISTED ,245/40 R18 ,265/35 R18 ,8.5Jx18 ,9Jx18 ,RM2 698/month,3.7,-
952, 2015 Toyota Alphard 2.5 (A) S 7 SEATER 2 PD UNREG,    RM 216 000     ,Recon,   Selangor   ,"['https://img.rnudah.com/thumbs/97/970911043379962.jpg', 'https://img.rnudah.com/thumbs/97/970911046359927.jpg', 'https://img.rnudah.com/thumbs/97/970911040116436.jpg', 'https://img.rnudah.com/thumbs/97/973911044209712.jpg', 'https://img.rnudah.com/thumbs/97/979911043872945.jpg', 'https://img.rnudah.com/thumbs/97/972911047966221.jpg', 'https://img.rnudah.com/thumbs/97/975911045816006.jpg']",TOYOTA   ,  15 000 - 19 999  ,ALPHARD   ,8 , -,4D WAGON ,AGH30W , 2015  ,JAPAN ,CVT Automatic,2493 ,10.4  , -,235 , - ,PETROL ,4915 ,1850 ,1880 ,3000 , -,75 , -, -, -, -, -,215/65R16 98H ,215/65R16 98H , -, -,RM2 914/month,3.7,-
953, 2018 Toyota VELLFIRE 2.5 ZG NFL 3 LED SUNROOF,    RM 295 000     ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/71/716916035787150.jpg', 'https://img.rnudah.com/thumbs/71/717916036590297.jpg', 'https://img.rnudah.com/thumbs/71/711916032963401.jpg', 'https://img.rnudah.com/thumbs/71/719916038792584.jpg', 'https://img.rnudah.com/thumbs/71/711916038119050.jpg', 'https://img.rnudah.com/thumbs/71/710916033352240.jpg', 'https://img.rnudah.com/thumbs/71/711916034155387.jpg', 'https://img.rnudah.com/thumbs/71/713916037549660.jpg', 'https://img.rnudah.com/thumbs/71/716916035399445.jpg', 'https://img.rnudah.com/thumbs/71/716916037679273.jpg']",TOYOTA   ,  5 000 - 9 999  ,VELLFIRE   ,7 ,ZG ,4D WAGON ,DBA-AGH30W	 , 2018  ,JAPAN ,6 SP AUTOMATIC,2493 ,9.8  ,125 ,224 ,ELECTRONIC F/INJ ,PETROL ,4865 ,1830 ,1880 ,2950 ,1880 ,65 ,Ventilated Disc ,Solid Disc ,MCPHERSON STRUT TYPE COIL SPRING ,TORSION BEAM TYPE COIL SPRING , -,235/50R18 ,235/50R18 ,18 ,18 ,RM3 979/month,3.7,-
954, 2011 Perodua MYVI 1.3 EZi FL (A) Limited Edition R,    RM 19 888     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/61/613906036417739.jpg', 'https://img.rnudah.com/thumbs/55/556928022204010.jpg', 'https://img.rnudah.com/thumbs/55/555928028940484.jpg', 'https://img.rnudah.com/thumbs/55/552928021867243.jpg', 'https://img.rnudah.com/thumbs/55/552928025443201.jpg', 'https://img.rnudah.com/thumbs/61/611906033127610.jpg', 'https://img.rnudah.com/thumbs/55/556928021816305.jpg', 'https://img.rnudah.com/thumbs/55/550928023941051.jpg', 'https://img.rnudah.com/thumbs/55/552928023267517.jpg', 'https://img.rnudah.com/thumbs/55/557928026687259.jpg', 'https://img.rnudah.com/thumbs/55/556928021920449.jpg', 'https://img.rnudah.com/thumbs/55/551928025340191.jpg', 'https://img.rnudah.com/thumbs/55/557928025003424.jpg', 'https://img.rnudah.com/thumbs/55/550928020081532.jpg', 'https://img.rnudah.com/thumbs/55/552928027931317.jpg', 'https://img.rnudah.com/thumbs/55/558928023630887.jpg', 'https://img.rnudah.com/thumbs/55/551928021480672.jpg', 'https://img.rnudah.com/thumbs/61/613906033154213.jpg']",PERODUA   ,  70 000 - 74 999  ,MYVI   ,5 ,EZi ,4D HATCHBACK ,FACELIFT , 2011  ,MALAYSIA ,4 SP AUTOMATIC,1298 ,10  ,64 ,116 ,ELECTRONIC F/INJ ,PETROL ,1665 ,3750 ,1550 ,2440 ,955 ,40 ,DC ,DR ,McSt;CS; ,TB;CS; ,RACK &amp; PINION ,175/65 R14 ,175/65 R14 ,4.5Jx14 ,4.5Jx14 ,RM268/month,3.7,-
955, 2002 Proton Waja 1.6 (M),    RM 6 880     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/25/254909050070235.jpg', 'https://img.rnudah.com/thumbs/25/257909056443339.jpg']",   Proton   ,250 000 - 299 999,   Waja   ,-,-,Sedan,-,-,-,Manual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM93/month,3.7,"Solar Film, CD Player, Leather Seats, Airbag Driver, Airbag Passenger, DVD Player, Navigation System, ABS Brakes, Sport Rims, Alarm, Central Lock, Adjustable Steering, Reverse Camera, Push Start, Electric Seat, Sunroof / Moonroof, Bodykit, Paddleshift, Power Door, Power Boot, Cruise Control, Climate Control, Interior Lighting, Bluetooth Connectivity, Park Assist, Touch Screen, Sunglass Holder, Cooled Glove Box, Head Up Display, Voice Recognition"
956, 2017 Honda City 1.5 (A) full spec,    RM 58 000     ,Used,   Melaka   ,"['https://img.rnudah.com/thumbs/25/254909050429069.jpg', 'https://img.rnudah.com/thumbs/25/259909051568983.jpg', 'https://img.rnudah.com/thumbs/25/254909052708897.jpg', 'https://img.rnudah.com/thumbs/25/259909053848811.jpg', 'https://img.rnudah.com/thumbs/25/257909052838510.jpg']",   Honda   ,45 000 - 49 999,   City   ,-,-,Sedan,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM782/month,3.7,"Leather Seats, CD Player, Airbag Driver, Airbag Passenger, Navigation System, DVD Player, ABS Brakes, Alarm, Reverse Camera, Adjustable Steering, Paddleshift, Power Door, Cruise Control, Bluetooth Connectivity, Touch Screen"
957, 2014 Perodua MyVi 1.3 (A),    RM 28 000     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/25/254909056851977.jpg', 'https://img.rnudah.com/thumbs/25/259909058767301.jpg', 'https://img.rnudah.com/thumbs/25/256909053898615.jpg', 'https://img.rnudah.com/thumbs/25/254909058639956.jpg', 'https://img.rnudah.com/thumbs/25/253909053873146.jpg']",   Perodua   ,65 000 - 69 999,   MyVi   ,-,-,Hatchback,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM378/month,3.7,"CD Player, Airbag Driver, Airbag Passenger, ABS Brakes, Adjustable Steering, Bluetooth Connectivity"
958, 1999 Perodua Kancil 850cc (M),    RM 4 000     ,Used,   Kelantan   ,"['https://img.rnudah.com/thumbs/25/251909052087435.jpg', 'https://img.rnudah.com/thumbs/25/251909054367263.jpg', 'https://img.rnudah.com/thumbs/25/255909057579851.jpg', 'https://img.rnudah.com/thumbs/25/257909056906317.jpg', 'https://img.rnudah.com/thumbs/25/257909059186145.jpg', 'https://img.rnudah.com/thumbs/25/258909051465973.jpg']",   Perodua   ,0 - 4 999,   Kancil   ,-,-,Others,-,-,-,Manual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM54/month,3.7,-
959, 2005 Proton Gen2 1.6cc (A),    RM 6 800     ,Used,   Kelantan   ,"['https://img.rnudah.com/thumbs/25/254909055272286.jpg', 'https://img.rnudah.com/thumbs/25/251909054158975.jpg', 'https://img.rnudah.com/thumbs/25/255909059055398.jpg', 'https://img.rnudah.com/thumbs/25/251909052475140.jpg']",   Proton   ,65 000 - 69 999,   Gen2   ,-,-,4 Wheels,-,-,-,Auto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RM92/month,3.7,DVD Player
960, Honda CIVIC 1.8 SE MODULO S FACELIFT (A),    RM 86 770     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/13/132927048121926.jpg', 'https://img.rnudah.com/thumbs/90/906904045514634.jpg', 'https://img.rnudah.com/thumbs/90/908904042561272.jpg', 'https://img.rnudah.com/thumbs/90/901904046654548.jpg', 'https://img.rnudah.com/thumbs/90/905904040747824.jpg', 'https://img.rnudah.com/thumbs/90/905904049271143.jpg', 'https://img.rnudah.com/thumbs/90/904904040540670.jpg', 'https://img.rnudah.com/thumbs/90/905904047587308.jpg', 'https://img.rnudah.com/thumbs/90/908904043157265.jpg', 'https://img.rnudah.com/thumbs/90/900904048727222.jpg', 'https://img.rnudah.com/thumbs/90/900904042483731.jpg', 'https://img.rnudah.com/thumbs/90/905904043623645.jpg', 'https://img.rnudah.com/thumbs/90/905904048183301.jpg', 'https://img.rnudah.com/thumbs/90/900904049323215.jpg', 'https://img.rnudah.com/thumbs/90/909904044556405.jpg']",HONDA   ,  15 000 - 19 999  ,CIVIC   ,5 ,SE MODULO S ,4D SEDAN ,FACELIFT , 2016  ,MALAYSIA ,5 SP AUTOMATIC,1798 ,10.6  ,104 ,174 ,FUEL INJECTED ,PETROL ,1755 ,4525 ,1435 ,2670 ,1225 ,50 ,DV ,DC ,McSt; ,MLS; ,RACK &amp; PINION - POWER ASSISTED ,205/55 R16 ,205/55 R16 ,6.5Jx16 ,6.5Jx16 ,RM1 170/month,3.7,-
961, Proton SAGA 1.3 FLX (A)TIPTOP*1/O L/NEW,   RM 19 800      ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/90/907904041450903.jpg', 'https://img.rnudah.com/thumbs/90/905904040440602.jpg', 'https://img.rnudah.com/thumbs/90/906904041243749.jpg', 'https://img.rnudah.com/thumbs/90/905904045000258.jpg', 'https://img.rnudah.com/thumbs/90/907904044326724.jpg', 'https://img.rnudah.com/thumbs/90/906904044119570.jpg', 'https://img.rnudah.com/thumbs/90/905904047876079.jpg', 'https://img.rnudah.com/thumbs/90/900904049015993.jpg', 'https://img.rnudah.com/thumbs/90/900904042772502.jpg', 'https://img.rnudah.com/thumbs/90/905904048472072.jpg', 'https://img.rnudah.com/thumbs/90/903904045181943.jpg', 'https://img.rnudah.com/thumbs/90/906904040260051.jpg']",PROTON   ,  75 000 - 79 999  ,SAGA   ,5 ,FLX STANDARD ,4D SEDAN , -, 2014  ,MALAYSIA ,CVT AUTO 6 SP SEQUENTIAL,1332 ,10  ,70 ,120 ,MULTI POINT F/INJ ,PETROL ,1680 ,4278 ,1520 ,2465 ,1055 ,40 ,DV ,DR ,McSt ,ToB ,RACK &amp; PINION - POWER ASSISTED ,185/60 R14 ,185/60 R14 ,5.5x14 ,5.5x14 ,RM247/month,3.7,-
962, 14 Perodua ALZA 1.5 ADVANCED (A) AV 1MALAY OWN,    RM 38 800     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/85/857930032709455.jpg', 'https://img.rnudah.com/thumbs/85/856930038641648.jpg', 'https://img.rnudah.com/thumbs/85/857930037164967.jpg', 'https://img.rnudah.com/thumbs/85/858930035688286.jpg', 'https://img.rnudah.com/thumbs/85/859930034211605.jpg', 'https://img.rnudah.com/thumbs/85/850930032734924.jpg', 'https://img.rnudah.com/thumbs/85/851930031258243.jpg', 'https://img.rnudah.com/thumbs/85/851930039781562.jpg', 'https://img.rnudah.com/thumbs/85/852930038304881.jpg', 'https://img.rnudah.com/thumbs/85/859930033719756.jpg', 'https://img.rnudah.com/thumbs/85/851930030766394.jpg']",PERODUA   ,  75 000 - 79 999  ,ALZA   ,7 ,ZHV ADVANCED ,4D WAGON , -, 2014  ,MALAYSIA ,4 SP AUTOMATIC,1495 ,10  ,76 ,136 ,MULTI POINT F/INJ ,PETROL ,1695 ,4275 ,1620 ,2750 ,1168 ,42 ,DV ,DR ,McSt;CS; ,TB;SB; ,RACK &amp; PINION - POWER ASSISTED ,185/55 R15 ,185/55 R15 , -, -,RM523/month,3.7,-
